title,link
Зеленский сделал заявление о конфликте на Украине после выборов в США,https://ria.ru/20241018/zelenskiy-1978712190.html
Путин приехал на деловой форум БРИКС в Москве,https://ria.ru/20241018/putin-1978685247.html
"Путину доверяют 78 процентов россиян, показал опрос",https://ria.ru/20241018/putin-1978679359.html
"Работу Путина одобряют 74,4% россиян, показал опрос",https://ria.ru/20241018/putin-1978678065.html
"СМИ раскрыли, почему Зеленский заговорил о ядерном оружии для Украины",https://ria.ru/20241018/telegraph-1978675143.html
"Мишустин переназначил Федоренко на должность директора ""Артека""",https://ria.ru/20241018/fedorenko-1978674227.html
Комиссия горсовета Орска выберет главу администрации 24 октября,https://ria.ru/20241018/orsk-1978672442.html
"""Он признал"". СМИ заметили странную деталь в словах Зеленского",https://ria.ru/20241018/onet-1978665638.html
"СМИ рассказали, какой ""подарок"" Украина получит от своих союзников",https://ria.ru/20241018/mwm-1978657314.html
"""Это шантаж"". В Германии предложили новые меры из-за ""плана"" Зеленского",https://ria.ru/20241018/zelenskiy-1978652343.html
Жога посетит ключевые объекты в Тюменской области,https://ria.ru/20241018/zhoga-1978647414.html
Путин встретился с главой Башкортостана Хабировым во время поездки в Уфу,https://ria.ru/20241017/putin--1978619417.html
Глава Назрани досрочно ушел в отставку,https://ria.ru/20241017/nazran-1978519026.html
Медведев поручил региональным исполкомам ЕР продолжать поддержку бойцов СВО,https://ria.ru/20241016/medvedev--1978414088.html
"Медведев рассказал, кем могут работать участники СВО",https://ria.ru/20241016/medvedev-1978409932.html
Медведев призвал уважать американские традиции,https://ria.ru/20241016/medvedev-1978407055.html
Медведев высказался о приходе молодежи в политику,https://ria.ru/20241016/medvedev-1978405983.html
"Медведев рассказал о работе ""Единой России"" после победы в СВО",https://ria.ru/20241016/medvedev-1978405723.html
"Медведев назвал ЕР партией, которая пришла всерьез и надолго",https://ria.ru/20241016/medvedev-1978405111.html
Медведев назвал обман основой политической жизни на Украине,https://ria.ru/20241016/medvedev-1978389313.html
Путин проводит совещание с членами правительства. Прямая трансляция,https://ria.ru/20241016/live-1978367153.html
Путин в среду проведет совещание с членами правительства,https://ria.ru/20241016/putin-1978308945.html
Песков не стал комментировать заявление Кадырова о покушении на него,https://ria.ru/20241016/peskov-1978306974.html
Володин отчитал депутатов за анонсирование непроработанных инициатив,https://ria.ru/20241015/volodin-1978148182.html
Псковские депутаты выбрали Мельникову сенатором вместо Турчака,https://ria.ru/20241015/senator-1978126024.html
"Встреча Путина с главой ""Росатома"" Лихачевым. Прямая трансляция",https://ria.ru/20241015/putin-1978068889.html
"Путин внимательно следит за работой ""Росатома"", заявил Песков",https://ria.ru/20241015/rosatom-1978105496.html
"Путин примет в Кремле главу ""Росатома"" Лихачева",https://ria.ru/20241015/putin-1978104636.html
Министр сельского хозяйства Словакии обсудил сотрудничество с послом России,https://ria.ru/20241014/sotrudnichestvo-1978043465.html
